drug,therapeutic,status,n,n_resistant,random_auroc,random_bal_acc,random_brier,random_f1_resistant,random_pr_auc,random_recall_resistant,random_recall_susceptible,grouped_auroc,grouped_bal_acc,grouped_brier,grouped_f1_resistant,grouped_pr_auc,grouped_recall_resistant,grouped_recall_susceptible,baseline_known_gene_auroc,baseline_known_gene_bal_acc,coverage,frac_no_call,frac_ood
ampicillin,True,ok,1685,856,0.966,0.941,0.05,0.939,0.956,0.912,0.969,0.946,0.935,0.061,0.933,0.939,0.9,0.971,0.956,0.956,0.909,0.067,0.054
amoxicillin-clavulanic acid,True,ok,473,117,0.985,0.966,0.015,0.965,0.982,0.932,1.0,0.986,0.966,0.017,0.965,0.98,0.932,1.0,0.5,0.5,0.951,0.025,0.04
ceftriaxone,True,ok,1858,363,0.993,0.947,0.013,0.942,0.99,0.895,0.999,0.987,0.927,0.023,0.92,0.98,0.854,0.999,0.967,0.967,0.948,0.031,0.048
cefoxitin,False,ok,1519,240,0.984,0.971,0.009,0.962,0.971,0.946,0.996,0.985,0.973,0.01,0.964,0.971,0.95,0.996,0.5,0.5,0.939,0.003,0.055
meropenem,True,ok,116,23,1.0,0.957,0.024,0.955,1.0,0.913,1.0,1.0,0.9,0.038,0.889,1.0,0.8,1.0,0.6,0.6,0.541,0.0,0.459
ciprofloxacin,True,ok,1565,201,0.962,0.891,0.03,0.855,0.906,0.791,0.991,0.903,0.89,0.033,0.863,0.845,0.786,0.995,0.941,0.941,0.873,0.066,0.114
nalidixic acid,False,ok,1578,233,0.954,0.863,0.053,0.784,0.75,0.755,0.97,0.915,0.791,0.067,0.684,0.66,0.614,0.969,0.883,0.883,0.891,0.115,0.074
azithromycin,True,ok,1849,84,0.922,0.797,0.019,0.735,0.739,0.595,0.999,0.868,0.5,0.033,0.0,0.601,0.0,0.999,0.858,0.858,0.851,0.035,0.136
gentamicin,False,ok,1602,268,0.958,0.902,0.034,0.874,0.91,0.813,0.99,0.942,0.887,0.045,0.851,0.89,0.787,0.987,0.884,0.884,0.943,0.099,0.039
streptomycin,True,no_call_single_class,688,688,,,,,,,,,,,,,,,,,,,
tetracycline,True,ok,1602,1077,0.955,0.945,0.052,0.957,0.959,0.941,0.949,0.947,0.933,0.058,0.946,0.951,0.92,0.947,0.94,0.94,0.91,0.08,0.061
chloramphenicol,True,ok,1642,200,0.922,0.831,0.048,0.753,0.777,0.68,0.983,0.872,0.811,0.055,0.725,0.675,0.64,0.983,0.878,0.878,0.92,0.102,0.054
trimethoprim-sulfamethoxazole,True,ok,573,76,0.971,0.865,0.031,0.83,0.921,0.737,0.994,0.948,0.851,0.045,0.806,0.836,0.711,0.992,0.766,0.766,0.934,0.103,0.047
